year,coal_consumption,gas__consumption,biofuel_consumption,hydro_consumption,nuclear_consumption,oil_consumption,solar_consumption,wind_consumption
1990,18022.183,11651.397,90.535,3758.196,3423.739,21585.775,1.111,8.641
1991,17992.675,11996.631,94.457,3839.487,3599.072,21642.264,1.429,9.477
1992,18139.14,12165.912,95.697,3767.992,3664.706,22158.973,1.267,10.262
1993,18596.413,12264.11,103.557,4020.613,3752.593,22102.565,1.505,11.839
1994,18965.793,12364.076,112.656,3984.151,3878.618,22499.506,1.609,14.865
1995,19159.397,12687.339,118.305,4297.608,4076.16,22752.368,1.694,17.353
1996,19879.32,13080.897,112.65,4395.397,4167.155,23377.565,1.851,18.739
1997,19852.95,12910.323,115.51,4498.756,4109.894,23973.294,1.974,22.299
1998,19791.909,13047.734,119.252,4451.146,4227.53,23916.997,2.12,26.778
1999,20028.883,13293.642,121.24,4458.276,4492.904,24617.684,2.355,36.141
2000,20762.606,13814.038,116.211,4478.536,4633.159,24970.116,2.701,52.488
2001,21060.566,13756.958,114.843,4242.689,4727.622,25046.538,3.649,61.033
2002,22089.45,14204.937,140.706,4459.302,4745.479,25213.117,4.632,87.89
2003,24202.481,14338.897,158.912,4482.545,4531.455,25861.611,5.767,103.34
2004,26218.935,14703.983,188.572,4841.935,4787.915,26875.806,7.621,142.226
2005,28743.084,14864.42,217.971,5005.847,4801.685,26955.059,10.94,164.586
2006,30304.493,15300.58,269.024,5234.805,4884.738,27255.767,14.907,217.518
2007,32248.59,16171.62,342.488,5335.361,4766.174,27383.046,19.271,281.065
2008,32766.125,16434.879,445.568,5679.471,4735.492,26831.287,26.048,374.691
2009,32664.95,16123.396,491.119,5659.215,4692.793,26095.665,35.93,475.21
2010,34157.259,17365.12,545.483,5889.64,4804.135,27120.873,57.736,607.375
2011,35807.814,18118.539,566.496,6119.787,4390.33,27338.967,96.835,793.754
2012,35855.204,18647.247,571.12,6380.457,3942.214,27885.627,139.456,950.618
2013,36747.885,19139.33,637.412,6522.797,3977.776,28326.892,203.204,1130.421
2014,36969.967,19538.723,664.58,6779.043,4074.416,28576.405,329.493,1264.304
2015,35972.833,19733.599,700.09,6797.924,4198.477,29111.618,445.985,1473.187
2016,34904.154,20175.227,717.904,6999.403,4323.826,29653.849,600.977,1780.962
2017,35164.289,20728.441,723.928,7099.879,4374.819,30172.299,860.074,2134.712
2018,35620.648,22424.864,769.623,7158.423,4492.206,30775.791,1143.605,2389.957
2019,35363.281,22873.643,805.727,7444.303,4716.216,31232.471,1364.462,2616.744
2020,34546.374,22839.517,748.151,7580.457,4646.297,28972.931,1610.621,2905.805
2021,36754.559,24044.079,793.509,7291.685,4753.44,30431.935,1969.568,3513.534
2022,36871.835,23453.81,816.108,7464.743,4678.691,30754.234,2498.864,3997.696